Tabel barang;;;;;Tabel detail_transaksi;;;;;;Tabel karyawan;;;;Tabel kategori;;;Tabel pelanggan;;;;;;Tabel transaksi;;;;;;;;;;;;;
ID_Barang;Nama_Barang;ID_Kategori;Stok_Awal;;ID_Detail_Transaksi;ID_Transaksi;ID_Barang;Harga_Sewa;Kondisi_Barang_setelah_dikembalikan;;ID_Karyawan;Nama_Karyawan;Shift_Karyawan;;ID_Kategori;Nama_Kategori;;ID_Pelanggan;Nama_Pelanggan;No_HP;Email;Alamat_Lengkap;;ID_Transaksi;ID_Pelanggan;ID_Karyawan;Tanggal_Pinjam;Tanggal_Kembali;Metode_Bayar;Status_Bayar;Tanggal_Bayar;Total_Bayar;Denda;Keterangan_Denda;Keterlambatan_pembayaran;Ulasan_Pelanggan;Rating
BRG-001;Tenda Dome 4P;KAT-1;5;;1;T-1;BRG-001;150000;Baik;;K-301;Dewi Marlina;Pagi;;KAT-1;Tenda;;P-001;Cristiano Ronaldo;85217922655;cristiano.ronaldo@gmail.com;Jl. Mayjend Sungkono No.12, Surabaya;;T-1;P-001;K-301;01/06/2025;03/06/2025;Transfer;Lunas;01/06/2025;170000;0;-;-;Sangat puas;5
BRG-002;Matras Eiger;KAT-2;10;;2;T-1;BRG-002;20000;Baik;;K-302;Joko Supriyadi;Sore;;KAT-2;Matras;;P-002;Adidarma;82234567890;agung.adidarma@gmail.com;Jl. Soekarno Hatta No.88, Lowokwaru, Malang;;T-2;P-002;K-302;02/06/2025;05/06/2025;Cash;Lunas;06/06/2025;350000;50000;-;telat 1 hari;Muat banyak tapi berat;4
BRG-003;Carrier Consina 60L;KAT-3;5;;3;T-2;BRG-003;300000;Baik;;;;;;KAT-3;Carrier;;P-003;Jude Bellingham;85331234567;jude.bellingham@gmail.com;Perumahan Puri Indah Blok B2 No.5, Sidoarjo;;T-3;P-003;K-302;03/06/2025;04/06/2025;Transfer;Lunas;04/06/2025;350000;100000;Trekking pole rusak;-;-;2
BRG-004;Headlamp eiger;KAT-4;8;;4;T-3;BRG-004;200000;Baik;;;;;;KAT-4;Headlamp;;P-004;Luka Modric;87865432100;luka.modric@gmail.com;Jl. Hayam Wuruk No.40, Gadingrejo, Pasuruan;;T-4;P-004;K-301;04/06/2025;07/06/2025;Cash;Lunas;09/06/2025;375000;100000;-;telat 2 hari;Kurang panas kompornya;3
BRG-005;Trekking Pole;KAT-5;6;;5;T-3;BRG-005;50000;Rusak;;;;;;KAT-5;Trekking Pole;;P-005;Novi Rahmawati;87851244567;novi.rahmawati@gmail.com;Jl. Jaksa Agung Suprapto No.11, Lamongan;;T-5;P-005;K-301;05/06/2025;07/06/2025;Transfer;Lunas;05/06/2025;180000;0;-;-;Hangat banget;5
BRG-006;Kompor Portable;KAT-6;4;;6;T-4;BRG-006;250000;Baik;;;;;;KAT-6;Kompor;;P-006;Andre Bauman;82288445566;andre.bauman@gmail.com;Jl. Joyoboyo No.27, Mojoroto, Kediri;;T-6;P-006;K-302;06/06/2025;08/06/2025;Transfer;Lunas;06/06/2025;140000;0;-;-;Praktis dan ringan;5
BRG-007;Panci Set;KAT-7;4;;7;T-4;BRG-007;25000;Baik;;;;;;KAT-7;Peralatan Masak;;P-007;Adidarma;82234567890;agung.adidarma@gmail.com;Jl. Soekarno Hatta No.88, Lowokwaru, Malang;;T-7;P-007;K-301;06/06/2025;07/06/2025;Transfer;Lunas;06/06/2025;360000;200000;Jaket sobek;-;kurang oke;2
BRG-008;Sleeping Bag Eiger;KAT-8;7;;8;T-5;BRG-008;180000;Baik;;;;;;KAT-8;Sleeping Bag;;P-008;Kylian Mbappe;81234567890;kylian.mbappe@gmail.com;Jl. Bhayangkara No.30, Sooko, Mojokerto;;T-8;P-008;K-302;07/06/2025;10/06/2025;Cash;Lunas;11/06/2025;390000;80000;-;telat 1 hari;Flysheetnya oke;4
BRG-009;Tenda Bivak;KAT-1;3;;9;T-6;BRG-009;100000;Baik;;;;;;KAT-9;Jaket;;P-009;Kevin De Bruyne;89012345678;kevin.debruyne@gmail.com;Jl. Merdeka No.17, Sukorejo, Blitar;;T-9;P-009;K-301;08/06/2025;11/06/2025;Transfer;Lunas;08/06/2025;285000;85000;Sleeping Bag berlubang;-;kurang nyaman;3
BRG-010;Cooking Set;KAT-7;5;;10;T-6;BRG-010;40000;Baik;;;;;;KAT-1;Flysheet;;P-010;Luka Modric;87865432100;luka.modric@gmail.com;Jl. Hayam Wuruk No.40, Gadingrejo, Pasuruan;;T-10;P-010;K-302;09/06/2025;10/06/2025;Cash;Lunas;12/06/2025;150000;60000;-;telat 2 hari;Matras nyaman bree;5
BRG-011;Jaket Gunung Arei;KAT-9;5;;11;T-7;BRG-011;160000;Rusak;;;;;;KAT-1;Lampu;;;;;;;;;;;;;;;;;;;;;
BRG-012;Flysheet;KAT-1;6;;12;T-8;BRG-012;280000;Baik;;;;;;KAT-1;Gas;;;;;;;;;;;;;;;;;;;;;
BRG-013;Sleeping Bag Thermarest;KAT-8;3;;13;T-8;BRG-013;30000;Baik;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRG-014;Lampu Tenda;KAT-1;10;;14;T-9;BRG-013;200000;Rusak;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRG-015;Matras;KAT-2;15;;15;T-10;BRG-014;50000;Baik;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRG-016;Gas;KAT-1;20;;16;T-10;BRG-015;20000;Baik;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;17;T-10;BRG-016;20000;baik sekali;;;;;;;;;;;;;;;;;;;;;;;;;;;;
